диктор,уровень,предложение,ИК,величина_подъема,позиция_пика,скорость_подъема,F0старт,F0пик,F0конец,Тслог,Тпик
12,2,8,ИК3,7.01,87.20,62.86,2344,2344,2309,0.137,0.006
13,3,8,ИК3,3.86,94.78,40.00,2798,3519,3519,0.134,0.127
14,3,8,ИК3,3.50,80.23,43.10,2763,3391,3112,0.172,0.138
15,3,8,ИК3,0.53,70.27,6.79,2926,3007,2949,0.111,0.078
16,3,8,ИК3,5.31,98.71,66.38,2728,3589,3589,0.232,0.229
17,3,8,ИК3,1.86,62.60,24.16,1856,2065,1984,0.123,0.077
18,3,8,ИК3,3.69,87.22,42.97,2809,3472,3449,0.18,0.157
1,1,9,ИК3,0.00,0.73,NaN,1530,1530,995,0.137,0.001
2,1,9,ИК3,0.00,4.67,NaN,3065,3065,2926,0.15,0.007
3,1,9,ИК3,0.00,0.55,NaN,2577,2577,2333,0.182,0.001
4,1,9,ИК3,1.59,38.02,34.57,2100,2298,1879,0.121,0.046
5,1,9,ИК3,1.07,55.32,23.26,1751,1926,1833,0.141,0.078
6,1,9,ИК3,1.60,75.00,20.51,2868,3321,3286,0.134,0.128
7,2,9,ИК3,2.56,95.52,26.67,3019,3414,3414,0.164,0.157
8,2,9,ИК3,2.16,95.73,21.60,3216,3414,3414,0.075,0.067
9,2,9,ИК3,1.04,89.33,15.52,2437,2670,2647,0.171,0.158
10,2,9,ИК3,1.36,92.40,8.61,3426,3426,2844,0.154,0
11,2,9,ИК3,0.00,0.00,NaN,1251,2181,1984,0.15,0.09
12,2,9,ИК3,6.59,60.00,73.22,2833,3170,3170,0.09,0.083
13,3,9,ИК3,3.43,93.75,36.61,3007,3472,3403,0.14,0.093
14,3,9,ИК3,2.41,38.11,63.42,2996,3170,2833,0.244,0.093
15,3,9,ИК3,2.93,86.03,41.97,2984,3577,3530,0.229,0.197
16,3,9,ИК3,2.91,93.42,31.83,2809,3321,3321,0.152,0.142
17,3,9,ИК3,2.81,65.54,43.69,1949,2286,2170,0.148,0.097
18,3,9,ИК3,0.00,0.65,NaN,3019,3019,2612,0.154,0.001
