диктор;уровень;предложение;ИК;величина  подъема;позиция  пика;скорость  подъема;F0старт;F0пик;F0конец;Тслог;Тпик
2;1;5;ИК2;0,14;66,31;1,15;2902,00;2926,00;2821,00;0,19;0,12
3;1;5;ИК2;0,22;14,59;6,41;2682,00;2716,00;1984,00;0,23;0,03
4;1;5;ИК2;2,83;58,24;26,67;2554,00;3007,00;2740,00;0,18;0,11
5;1;5;ИК2;0,34;6,67;22,40;1786,00;1821,00;1600,00;0,23;0,02
6;1;5;ИК2;2,05;50,15;12,10;3158,00;3554,00;2740,00;0,34;0,17
7;1;5;ИК2;2,42;38,36;19,83;3100,00;3565,00;3182,00;0,32;0,12
8;1;5;ИК2;2,62;47,37;19,40;1635,00;1902,00;1716,00;0,29;0,14
9;2;5;ИК2;3,43;92,41;7,83;2658,00;3240,00;3205,00;0,47;0,44
10;2;5;ИК2;2,04;39,11;20,99;1867,00;2100,00;1937,00;0,25;0,10
11;2;5;ИК2;0,64;13,72;20,62;2472,00;2565,00;2216,00;0,23;0,03
12;2;5;ИК2;1,24;38,75;11,83;3589,00;3856,00;3263,00;0,27;0,11
13;2;5;ИК2;0,40;46,76;3,91;3030,00;3100,00;2971,00;0,22;0,10
14;2;5;ИК2;0,13;99,31;0,44;3170,00;3193,00;3193,00;0,29;0,29
15;2;5;ИК2;0,30;59,70;2,46;2728,00;2775,00;2740,00;0,20;0,12
16;2;5;ИК2;3,98;75,77;23,11;2344,00;2949,00;2914,00;0,23;0,17
17;3;5;ИК2;3,48;78,89;24,50;2821,00;3449,00;3391,00;0,18;0,14
18;3;5;ИК2;0,54;57,95;4,74;3344,00;3449,00;3275,00;0,20;0,11
19;3;5;ИК2;0,00;0,00;0,00;3240,00;3240,00;2984,00;0,25;0,00
20;3;5;ИК2;2,80;50,00;20,12;3182,00;3740,00;2949,00;0,28;0,14
21;3;5;ИК2;0,45;14,77;20,27;1763,00;1809,00;1588,00;0,15;0,02
22;3;5;ИК2;2,14;61,50;17,42;3089,00;3496,00;2972,00;0,20;0,12
23;3;5;ИК2;7,26;75,17;33,78;1740,00;2647,00;2507,00;0,29;0,22
24;3;5;ИК2;2,34;58,82;23,43;3216,00;3682,00;3565,00;0,17;0,10
1;1;6;ИК2;1,62;73,68;11,60;1414,00;1553,00;1460,00;0,19;0,14
2;1;6;ИК2;1,99;76,65;13,18;3054,00;3426,00;3310,00;0,20;0,15
3;1;6;ИК2;2,03;98,39;11,09;2437,00;2740,00;2740,00;0,19;0,18
4;1;6;ИК2;9,55;89,40;70,74;2008,00;3486,00;3460,00;0,15;0,14
5;1;6;ИК2;5,07;50,00;83,16;1639,00;2197,00;1961,00;0,12;0,06
6;1;6;ИК2;5,95;89,05;31,82;2458,00;3466,00;3454,00;0,21;0,19
7;1;6;ИК2;0,84;76,60;11,68;3496,00;3670,00;3670,00;0,09;0,07
8;1;6;ИК2;8,92;90,76;53,39;1088,00;1821,00;1798,00;0,18;0,17
9;2;6;ИК2;7,65;52,61;68,89;1844,00;2868,00;2577,00;0,21;0,11
10;2;6;ИК2;0,87;63,81;13,01;1588,00;1670,00;1588,00;0,11;0,07
11;2;6;ИК2;2,64;4,95;527,65;2193,00;2554,00;2414,00;0,10;0,01
12;2;6;ИК2;0,95;59,05;15,31;3496,00;3693,00;3589,00;0,11;0,06
13;2;6;ИК2;1,70;16,35;99,99;2937,00;3240,00;3007,00;0,10;0,02
14;2;6;ИК2;2,10;90,53;12,23;3065,00;3461,00;3379,00;0,19;0,17
15;2;6;ИК2;1,03;15,00;85,99;2833,00;3007,00;2693,00;0,08;0,01
16;2;6;ИК2;1,57;63,45;17,09;2693,00;2949,00;2891,00;0,15;0,09
17;3;6;ИК2;2,98;98,91;16,36;2914,00;3461,00;3461,00;0,18;0,18
18;3;6;ИК2;1,17;97,89;8,45;3147,00;3368,00;3368,00;0,14;0,14
19;3;6;ИК2;2,03;90,91;13,55;2891,00;3251,00;3251,00;0,17;0,15
20;3;6;ИК2;0,21;14,81;12,92;2914,00;2949,00;2635,00;0,11;0,02
21;3;6;ИК2;1,77;80,26;29,06;1623,00;1798,00;1798,00;0,08;0,06
22;3;6;ИК2;1,40;54,71;15,04;2495,00;2705,00;2577,00;0,17;0,09
23;3;6;ИК2;10,61;88,73;84,22;1402,00;2588,00;2577,00;0,14;0,13
24;3;6;ИК2;0,20;3,75;65,12;2996,00;3030,00;2728,00;0,08;0,00
1;1;7;ИК3;0,00;5,88;0,00;1228,00;1228,00;1170,00;0,07;0,00
2;1;7;ИК3;0,00;7,87;0,00;2844,00;2844,00;2461,00;0,09;0,01
