диктор;уровнь;предложение;ИК;величина  подъема;позиция  пика;скорость  подъема;F0старт;F0пик;F0конец;Тслог;Тпик
14;2;13;ИК5;1,54;100,00;8,98;3007,00;3286,00;3286,00;0,17;0,17
15;2;13;ИК5;0,00;0,00;0,00;2879,00;2879,00;2856,00;0,09;0,00
16;2;13;ИК5;0,35;41,30;6,13;2844,00;2902,00;2821,00;0,14;0,06
17;3;13;ИК5;0,00;0,00;0,00;3182,00;3182,00;3065,00;0,06;0,00
18;3;13;ИК5;3,87;99,06;36,86;2786,00;3484,00;3484,00;0,11;0,11
19;3;13;ИК5;0,18;85,44;1,01;3310,00;3344,00;3298,00;0,21;0,18
20;3;13;ИК5;3,76;95,71;28,05;2495,00;3100,00;3100,00;0,14;0,13
21;3;13;ИК5;2,62;55,45;46,76;1635,00;1902,00;1902,00;0,10;0,06
22;3;13;ИК5;0,82;95,50;7,74;3112,00;3263,00;3263,00;0,11;0,11
23;3;13;ИК5;1,27;91,67;19,30;2135,00;2298,00;2298,00;0,07;0,07
24;3;13;ИК5;0,72;98,04;7,22;3007,00;3135,00;3135,00;0,10;0,10
1;1;13;ИК5;0,88;13,95;29,30;1344,00;1414,00;1309,00;0,22;0,03
2;1;13;ИК5;0,32;11,21;8,75;3158,00;3216,00;2356,00;0,32;0,04
3;1;13;ИК5;1,96;7,55;122,39;2530,00;2833,00;1949,00;0,21;0,02
4;1;13;ИК5;0,16;15,19;13,32;2588,00;2612,00;1519,00;0,08;0,01
5;1;13;ИК5;0,00;0,00;0,00;2391,00;2391,00;1588,00;0,19;0,00
6;1;13;ИК5;0,00;0,00;0,00;3205,00;3205,00;2402,00;0,66;0,00
7;1;13;ИК5;0,58;42,21;4,46;3054,00;3158,00;3042,00;0,31;0,13
8;1;13;ИК5;2,60;38,34;26,82;1437,00;1670,00;1553,00;0,25;0,10
9;2;13;ИК5;0,16;15,48;6,15;2588,00;2612,00;2612,00;0,17;0,03
10;2;13;ИК5;0,00;0,00;0,00;1926,00;1926,00;1391,00;0,23;0,00
11;2;13;ИК5;1,93;42,47;15,22;1972,00;2205,00;1937,00;0,30;0,13
12;2;13;ИК5;0,00;0,00;0,00;3403,00;3403,00;2368,00;0,29;0,00
13;2;13;ИК5;0,00;0,00;0,00;2914,00;2914,00;2519,00;0,27;0,00
14;2;13;ИК5;0,00;0,00;0,00;2972,00;2972,00;2809,00;0,46;0,00
15;2;13;ИК5;0,36;47,48;2,72;2763,00;2821,00;2461,00;0,28;0,13
16;2;13;ИК5;0,45;39,41;3,03;2647,00;2716,00;2402,00;0,37;0,15
17;3;13;ИК5;0,00;0,00;0,00;3030,00;3030,00;2449,00;0,36;0,00
18;3;13;ИК5;0,14;10,67;4,34;2856,00;2879,00;2554,00;0,30;0,03
19;3;13;ИК5;0,37;15,79;7,77;3216,00;3286,00;2856,00;0,30;0,05
20;3;13;ИК5;0,00;0,00;0,00;2891,00;2891,00;2670,00;0,26;0,00
21;3;13;ИК5;0,00;0,00;0,00;1716,00;1716,00;1298,00;0,30;0,00
22;3;13;ИК5;0,14;3,41;12,47;2891,00;2914,00;2379,00;0,32;0,01
23;3;13;ИК5;0,00;0,00;0,00;1821,00;1821,00;1251,00;0,20;0,00
24;3;13;ИК5;0,43;30,73;6,38;2798,00;2868,00;2542,00;0,22;0,07
1;1;14;ИК5;1,06;10,42;106,23;1833,00;1949,00;1577,00;0,10;0,01
2;1;14;ИК5;4,39;73,00;22,87;2902,00;3740,00;3658,00;0,26;0,19
3;1;14;ИК5;0,00;0,00;0,00;2716,00;2716,00;2705,00;0,22;0,00
4;1;14;ИК5;8,36;96,09;33,99;1891,00;3065,00;3042,00;0,26;0,25
5;1;14;ИК5;0,99;7,75;89,91;1786,00;1891,00;1821,00;0,14;0,01
6;1;14;ИК5;3,39;58,93;18,03;3065,00;3728,00;3624,00;0,32;0,19
7;1;14;ИК5;1,77;67,20;7,01;3135,00;3472,00;3414,00;0,38;0,25
8;1;14;ИК5;7,57;93,38;53,67;1379,00;2135,00;2123,00;0,15;0,14
9;2;14;ИК5;0,72;100,00;3,66;2740,00;2856,00;2856,00;0,20;0,20
10;2;14;ИК5;0,54;43,48;10,77;1867,00;1926,00;1856,00;0,12;0,05
11;2;14;ИК5;0,40;77,87;2,05;2495,00;2554,00;2437,00;0,25;0,20
12;2;14;ИК5;1,72;6,02;107,54;2670,00;2949,00;2751,00;0,27;0,02
13;2;14;ИК5;0,72;89,12;3,39;3007,00;3135,00;3135,00;0,24;0,21
14;2;14;ИК5;1,58;89,67;5,34;3170,00;3472,00;3414,00;0,33;0,30
15;2;14;ИК5;0,14;5,11;11,74;2937,00;2961,00;2740,00;0,24;0,01
16;2;14;ИК5;1,04;4,35;172,64;2449,00;2600,00;2263,00;0,14;0,01
17;3;14;ИК5;2,25;89,63;18,63;2926,00;3333,00;3333,00;0,14;0,12
18;3;14;ИК5;1,31;81,82;8,08;3414,00;3682,00;3682,00;0,20;0,16
19;3;14;ИК5;2,82;6,99;141,25;2821,00;3321,00;3310,00;0,29;0,02
20;3;14;ИК5;0,00;0,00;0,00;2821,00;2821,00;2623,00;0,24;0,00
21;3;14;ИК5;2,57;82,49;17,60;1600,00;1856,00;1856,00;0,18;0,15
22;3;14;ИК5;0,67;79,87;5,26;3251,00;3379,00;3321,00;0,16;0,13
23;3;14;ИК5;5,70;85,10;32,21;1728,00;2402,00;2368,00;0,21;0,18
24;3;14;ИК5;1,43;74,59;7,83;3112,00;3379,00;3379,00;0,24;0,18
1;1;14;ИК5;0,15;8,97;21,08;1402,00;1414,00;1321,00;0,08;0,01
2;1;14;ИК5;0,68;40,16;13,35;2891,00;3007,00;2763,00;0,13;0,05
3;1;14;ИК5;0,58;5,61;96,31;2740,00;2833,00;2181,00;0,11;0,01
4;1;14;ИК5;0,00;0,00;0,00;2507,00;2507,00;1774,00;0,15;0,00
5;1;14;ИК5;0,32;15,74;18,79;1879,00;1914,00;1519,00;0,11;0,02
6;1;14;ИК5;1,09;31,89;6,43;2856,00;3042,00;2181,00;0,53;0,17
7;1;14;ИК5;1,22;52,10;19,72;2856,00;3065,00;2984,00;0,12;0,06
8;1;14;ИК5;1,90;61,68;28,85;1402,00;1565,00;1507,00;0,11;0,07
9;2;14;ИК5;0,00;0,00;0,00;2856,00;2856,00;2368,00;0,08;0,00
10;2;14;ИК5;1,52;74,88;9,97;1530,00;1670,00;1577,00;0,20;0,15
11;2;14;ИК5;0,50;23,88;6,31;1995,00;2054,00;1891,00;0,34;0,08
12;2;14;ИК5;0,00;0,00;0,00;2705,00;2705,00;2240,00;0,10;0,00
13;2;14;ИК5;0,18;5,00;14,15;3182,00;3216,00;2321,00;0,26;0,01
14;2;14;ИК5;0,74;6,85;43,78;2914,00;3042,00;2879,00;0,25;0,02
15;2;14;ИК5;0,54;98,22;3,25;2937,00;3030,00;3030,00;0,17;0,17
16;2;14;ИК5;0,00;5,36;0,00;2728,00;2728,00;2426,00;0,11;0,01
17;3;14;ИК5;1,28;8,63;75,08;2588,00;2786,00;2530,00;0,20;0,02
18;3;14;ИК5;0,00;0,00;0,00;2949,00;2949,00;2786,00;0,17;0,00
19;3;14;ИК5;0,00;0,00;0,00;3135,00;3135,00;2798,00;0,11;0,00
20;3;14;ИК5;2,77;30,54;44,69;2414,00;2833,00;2391,00;0,20;0,06
21;3;14;ИК5;0,65;65,87;3,91;1519,00;1577,00;1437,00;0,25;0,17
22;3;14;ИК5;0,00;0,00;0,00;2728,00;2728,00;2402,00;0,17;0,00
23;3;14;ИК5;0,00;0,00;0,00;1414,00;1414,00;1216,00;0,06;0,00
24;3;14;ИК5;0,13;5,08;21,09;3135,00;3158,00;2821,00;0,12;0,01
1;1;15;ИК5;0,00;0,00;0,00;1623,00;1623,00;1577,00;0,23;0,00
2;1;15;ИК5;5,45;78,91;25,13;2763,00;3786,00;3728,00;0,28;0,22
3;1;15;ИК5;1,76;3,14;251,56;2391,00;2647,00;2600,00;0,22;0,01
4;1;15;ИК5;5,22;74,09;32,05;2112,00;2856,00;2612,00;0,22;0,16
5;1;15;ИК5;1,18;57,65;12,08;1809,00;1937,00;1891,00;0,17;0,10
6;1;15;ИК5;3,49;59,79;20,39;2972,00;3635,00;3496,00;0,29;0,17
7;1;15;ИК5;1,04;71,36;7,31;3205,00;3403,00;3182,00;0,20;0,14
8;1;15;ИК5;6,07;100,00;30,21;1495,00;2123,00;2123,00;0,20;0,20
9;2;15;ИК5;0,29;79,31;1,81;2705,00;2751,00;2751,00;0,20;0,16
10;2;15;ИК5;0,55;57,01;9,01;1798,00;1856,00;1763,00;0,11;0,06
11;2;15;ИК5;2,04;78,34;9,41;2228,00;2507,00;2426,00;0,28;0,22
12;2;15;ИК5;2,67;75,94;16,60;2996,00;3496,00;3391,00;0,21;0,16
13;2;15;ИК5;0,54;90,79;2,48;2949,00;3042,00;2972,00;0,24;0,22
14;2;15;ИК5;2,22;88,22;8,02;3054,00;3472,00;3403,00;0,31;0,28
15;2;15;ИК5;0,14;5,00;11,48;2879,00;2902,00;2751,00;0,24;0,01
16;2;15;ИК5;0,00;0,00;0,00;2821,00;2821,00;2426,00;0,11;0,00
17;3;15;ИК5;0,92;66,67;13,15;2984,00;3147,00;3089,00;0,11;0,07
18;3;15;ИК5;3,21;95,16;13,62;2961,00;3565,00;3530,00;0,25;0,24
19;3;15;ИК5;0,80;55,73;5,46;3205,00;3356,00;3286,00;0,26;0,15
20;3;15;ИК5;5,13;63,09;34,91;2495,00;3356,00;3286,00;0,23;0,15
21;3;15;ИК5;1,25;38,51;21,85;1716,00;1844,00;1798,00;0,15;0,06
22;3;15;ИК5;0,00;0,00;0,00;3298,00;3298,00;3263,00;0,13;0,00
23;3;15;ИК5;2,24;74,26;22,15;1856,00;2112,00;2054,00;0,14;0,10
24;3;15;ИК5;1,40;53,54;11,56;3042,00;3298,00;3147,00;0,23;0,12
1;1;15;ИК5;2,49;15,63;166,04;1577,00;1821,00;1367,00;0,10;0,02
2;1;15;ИК5;1,22;6,21;111,19;3019,00;3240,00;2565,00;0,18;0,01
3;1;15;ИК5;0,00;0,00;0,00;2937,00;2937,00;1844,00;0,15;0,00
4;1;15;ИК5;0,00;0,00;0,00;2821,00;2821,00;1588,00;0,19;0,00
5;1;15;ИК5;0,00;0,00;0,00;2437,00;2437,00;1484,00;0,22;0,00
6;1;15;ИК5;2,02;40,08;10,52;2821,00;3170,00;2449,00;0,48;0,19
7;1;15;ИК5;0,71;23,48;22,76;3077,00;3205,00;2972,00;0,13;0,03
8;1;15;ИК5;0,00;0,00;0,00;1763,00;1763,00;1309,00;0,09;0,00
9;2;15;ИК5;0,00;0,00;0,00;2728,00;2728,00;2414,00;0,13;0,00
10;2;15;ИК5;0,00;0,00;0,00;1798,00;1798,00;1402,00;0,14;0,00
11;2;15;ИК5;0,00;0,00;0,00;2461,00;2461,00;1891,00;0,20;0,00
12;2;15;ИК5;0,00;0,00;0,00;2588,00;2588,00;2286,00;0,16;0,00
13;2;15;ИК5;0,00;0,00;0,00;3158,00;3158,00;2728,00;0,07;0,00
14;2;15;ИК5;0,85;6,57;65,29;2786,00;2926,00;2612,00;0,20;0,01
15;2;15;ИК5;0,00;0,00;0,00;2961,00;2961,00;2775,00;0,17;0,00
16;2;15;ИК5;0,38;4,58;53,85;2635,00;2693,00;2298,00;0,15;0,01
17;3;15;ИК5;0,00;0,00;0,00;2926,00;2926,00;2530,00;0,16;0,00
18;3;15;ИК5;0,00;0,00;0,00;3089,00;3089,00;2705,00;0,15;0,00
19;3;15;ИК5;0,26;4,58;37,40;3019,00;3065,00;2786,00;0,15;0,01
20;3;15;ИК5;0,00;0,00;0,00;3205,00;3205,00;2833,00;0,14;0,00
21;3;15;ИК5;1,70;45,16;24,33;1577,00;1740,00;1553,00;0,16;0,07
22;3;15;ИК5;0,52;4,27;74,77;3030,00;3123,00;2449,00;0,16;0,01
23;3;15;ИК5;0,00;0,00;0,00;2054,00;2054,00;1332,00;0,14;0,00
24;3;15;ИК5;0,00;0,00;0,00;3007,00;3007,00;2705,00;0,22;0,00
1;1;16;ИК6;3,30;93,44;19,30;1495,00;1809,00;1809,00;0,18;0,17
2;1;16;ИК6;4,16;95,56;11,36;2914,00;3705,00;3647,00;0,38;0,37
3;1;16;ИК6;0,23;7,05;14,66;2565,00;2600,00;2379,00;0,23;0,02
4;1;16;ИК6;2,19;82,30;12,75;2414,00;2740,00;2682,00;0,21;0,17
5;1;16;ИК6;6,38;91,67;38,65;1646,00;2379,00;2379,00;0,18;0,17
6;1;16;ИК6;5,70;87,75;25,66;2507,00;3484,00;3484,00;0,25;0,22
7;1;16;ИК6;1,44;97,99;4,90;3100,00;3368,00;3368,00;0,30;0,29
8;1;16;ИК6;6,36;72,66;34,20;1205,00;1740,00;1740,00;0,26;0,19
9;2;16;ИК6;1,23;81,95;3,77;2519,00;2705,00;2705,00;0,40;0,33
10;2;16;ИК6;0,00;0,00;0,00;1902,00;1902,00;1786,00;0,12;0,00
11;2;16;ИК6;0,32;20,24;18,83;2518,00;2565,00;2495,00;0,08;0,02
12;2;16;ИК6;4,22;89,11;19,11;2693,00;3437,00;3344,00;0,25;0,22
13;2;16;ИК6;3,76;80,38;17,64;2542,00;3158,00;3158,00;0,27;0,21
14;2;16;ИК6;3,57;83,39;15,81;2740,00;3368,00;3333,00;0,27;0,23
15;2;16;ИК6;1,48;66,37;9,85;2751,00;2996,00;2996,00;0,23;0,15
16;2;16;ИК6;2,72;64,14;29,23;2600,00;3042,00;3042,00;0,15;0,09
17;3;16;ИК6;1,95;95,12;16,70;2728,00;3054,00;3054,00;0,12;0,12
18;3;16;ИК6;2,21;90,48;14,52;2985,00;3391,00;3391,00;0,17;0,15
19;3;16;ИК6;1,57;79,35;12,77;3065,00;3356,00;3356,00;0,16;0,12
20;3;16;ИК6;1,96;92,65;15,59;2705,00;3030,00;3030,00;0,14;0,13
21;3;16;ИК6;3,63;95,38;16,00;1495,00;1844,00;1809,00;0,24;0,23
22;3;16;ИК6;3,24;80,30;30,57;2716,00;3275,00;3228,00;0,13;0,11
23;3;16;ИК6;4,02;70,87;27,51;1693,00;2135,00;2077,00;0,21;0,15
24;3;16;ИК6;1,65;73,33;8,32;2914,00;3205,00;3042,00;0,27;0,20
1;1;17;ИК6;0,00;0,00;0,00;1402,00;1402,00;1321,00;0,16;0,00
2;1;17;ИК6;1,33;29,11;21,52;3333,00;3600,00;2763,00;0,21;0,06
3;1;17;ИК6;1,50;38,53;11,87;2716,00;2961,00;2030,00;0,33;0,13
4;1;17;ИК6;3,52;84,55;17,86;2321,00;2844,00;2844,00;0,23;0,20
5;1;17;ИК6;0,00;0,00;0,00;1856,00;1856,00;1542,00;0,14;0,00
6;1;17;ИК6;0,49;65,12;1,93;3263,00;3356,00;2670,00;0,39;0,25
7;1;17;ИК6;0,62;22,02;16,72;3216,00;3333,00;3100,00;0,17;0,04
8;1;17;ИК6;1,15;30,72;22,64;1856,00;1984,00;1472,00;0,17;0,05
9;2;17;ИК6;1,07;47,40;11,72;2565,00;2728,00;2495,00;0,19;0,09
10;2;17;ИК6;1,08;22,69;13,39;1809,00;1926,00;1344,00;0,36;0,08
11;2;17;ИК6;2,30;54,27;18,15;2205,00;2519,00;2088,00;0,23;0,13
12;2;17;ИК6;0,00;0,00;0,00;2914,00;2914,00;2775,00;0,13;0,00
13;2;17;ИК6;0,20;37,53;1,31;3019,00;3054,00;2495,00;0,41;0,15
14;2;17;ИК6;0,00;0,00;0,00;3379,00;3379,00;2949,00;0,28;0,00
15;2;17;ИК6;0,28;12,14;13,51;2844,00;2891,00;2565,00;0,17;0,02
16;2;17;ИК6;0,00;0,00;0,00;2879,00;2879,00;2228,00;0,29;0,00
17;3;17;ИК6;0,00;0,00;0,00;2996,00;2996,00;2786,00;0,18;0,00
18;3;17;ИК6;0,00;0,00;0,00;2984,00;2984,00;2809,00;0,34;0,00
19;3;17;ИК6;2,45;11,89;111,20;2833,00;3263,00;3228,00;0,19;0,02
20;3;17;ИК6;0,39;84,09;2,13;2996,00;3065,00;3019,00;0,22;0,19
21;3;17;ИК6;0,90;27,27;21,33;1751,00;1844,00;1426,00;0,15;0,04
22;3;17;ИК6;0,68;52,60;4,50;2902,00;3019,00;2693,00;0,29;0,15
23;3;17;ИК6;2,97;45,03;21,87;1798,00;2135,00;1181,00;0,30;0,14
24;3;17;ИК6;0,52;50,81;4,14;3065,00;3158,00;2949,00;0,25;0,13
1;1;18;ИК6;1,03;12,57;46,59;1705,00;1809,00;1367,00;0,18;0,02
2;1;18;ИК6;1,84;33,97;17,21;2798,00;3112,00;2821,00;0,32;0,11
3;1;18;ИК6;2,33;96,48;12,14;2588,00;2961,00;2961,00;0,20;0,19
4;1;18;ИК6;0,24;3,35;33,98;2530,00;2565,00;2321,00;0,21;0,01
5;1;18;ИК6;0,00;0,00;0,00;2484,00;2484,00;2181,00;0,20;0,00
6;1;18;ИК6;0,29;1,39;41,18;2740,00;2786,00;2391,00;0,50;0,01
7;1;18;ИК6;0,00;0,00;0,00;3298,00;3298,00;3065,00;0,37;0,00
8;1;18;ИК6;3,81;58,48;19,73;1321,00;1646,00;1519,00;0,33;0,19
9;2;18;ИК6;0,21;2,64;29,65;2902,00;2937,00;2821,00;0,27;0,01
10;2;18;ИК6;1,62;55,44;15,10;1902,00;2088,00;1879,00;0,19;0,11
11;2;18;ИК6;0,00;0,00;0,00;2251,00;2251,00;2054,00;0,31;0,00
12;2;18;ИК6;0,00;0,00;0,00;2984,00;2984,00;2693,00;0,31;0,00
13;2;18;ИК6;0,00;0,00;0,00;1449,00;1449,00;1321,00;0,29;0,00
14;2;18;ИК6;0,00;0,00;0,00;3112,00;3112,00;2961,00;0,25;0,00
15;2;18;ИК6;0,00;0,00;0,00;2763,00;2763,00;2507,00;0,29;0,00
16;2;18;ИК6;0,00;0,00;0,00;2809,00;2809,00;2623,00;0,44;0,00
17;3;18;ИК6;0,00;0,00;0,00;2937,00;2937,00;2565,00;0,24;0,00
18;3;18;ИК6;0,00;0,00;0,00;3251,00;3251,00;2809,00;0,51;0,00
19;3;18;ИК6;0,83;9,35;31,78;3089,00;3240,00;3100,00;0,28;0,03
20;3;18;ИК6;0,53;4,59;31,10;2612,00;2693,00;2449,00;0,37;0,02
21;3;18;ИК6;0,78;14,55;19,44;1763,00;1844,00;1495,00;0,28;0,04
22;3;18;ИК6;0,00;0,00;0,00;2821,00;2821,00;2565,00;0,33;0,00
23;3;18;ИК6;0,22;2,72;27,16;1821,00;1844,00;1135,00;0,29;0,01
24;3;18;ИК6;1,88;70,97;8,54;1623,00;1809,00;1635,00;0,31;0,22
1;1;19;ИК7;0,00;0,00;0,00;1553,00;1553,00;1495,00;0,15;0,00
2;1;19;ИК7;0,00;0,00;0,00;3030,00;3030,00;2868,00;0,19;0,00
3;1;19;ИК7;0,58;32,07;7,65;2402,00;2484,00;1902,00;0,24;0,08
4;1;19;ИК7;0,81;90,24;4,39;2437,00;2554,00;2449,00;0,21;0,19
5;1;19;ИК7;0,00;0,00;0,00;1856,00;1856,00;1844,00;0,18;0,00
6;1;19;ИК7;0,00;0,00;0,00;3228,00;3228,00;3065,00;0,25;0,00
7;1;19;ИК7;3,22;54,17;35,38;3298,00;3972,00;3682,00;0,17;0,09
8;1;19;ИК7;0,00;0,00;0,00;1972,00;1972,00;1519,00;0,18;0,00
9;2;19;ИК7;0,29;13,83;10,99;2763,00;2809,00;2600,00;0,19;0,03
10;2;19;ИК7;0,54;1,08;269,21;2216,00;2286,00;1553,00;0,19;0,00
11;2;19;ИК7;0,00;0,00;0,00;2344,00;2344,00;2123,00;0,24;0,00
12;2;19;ИК7;0,00;0,00;0,00;2682,00;2682,00;2274,00;0,12;0,00
13;2;19;ИК7;0,41;90,76;2,46;2914,00;2984,00;2984,00;0,18;0,17
14;2;19;ИК7;0,00;0,00;0,00;2879,00;2879,00;2658,00;0,18;0,00
15;2;19;ИК7;0,40;3,06;57,35;2984,00;3054,00;2821,00;0,23;0,01
16;2;19;ИК7;0,00;0,00;0,00;2449,00;2449,00;2414,00;0,27;0,00
17;3;19;ИК7;0,00;0,00;0,00;3136,00;3136,00;2507,00;0,20;0,00
18;3;19;ИК7;0,00;0,00;0,00;2716,00;2716,00;2612,00;0,20;0,00
19;3;19;ИК7;0,37;53,13;2,75;3205,00;3275,00;3182,00;0,26;0,14
20;3;19;ИК7;1,10;6,34;64,83;2647,00;2821,00;2472,00;0,27;0,02
21;3;19;ИК7;0,00;0,00;0,00;1798,00;1798,00;1472,00;0,11;0,00
22;3;19;ИК7;0,65;0,00;0,00;2616,00;2716,00;2309,00;0,14;0,00
23;3;19;ИК7;0,00;0,00;0,00;1740,00;1740,00;1216,00;0,19;0,00
24;3;19;ИК7;0,34;22,89;7,30;2961,00;3019,00;1821,00;0,20;0,05
1;1;20;ИК7;0,35;20,13;10,91;1718,00;1753,00;1300,00;0,16;0,03
2;1;20;ИК7;1,37;19,61;19,52;2630,00;2846,00;2464,00;0,36;0,07
3;1;20;ИК7;0,00;0,00;0,00;3082,00;3082,00;2335,00;0,19;0,00
4;1;20;ИК7;0,98;10,53;61,15;2081,00;2202,00;1746,00;0,15;0,02
5;1;20;ИК7;2,22;16,58;71,70;2022,00;2299,00;1481,00;0,19;0,03
6;1;20;ИК7;1,23;32,66;9,51;2684,00;2881,00;2206,00;0,40;0,13
7;1;20;ИК7;0,00;0,00;0,00;3202,00;3202,00;2745,00;0,21;0,00
8;1;20;ИК7;2,05;33,77;39,35;1602,00;1803,00;1413,00;0,15;0,05
9;2;20;ИК7;0,00;0,00;0,00;3107,00;3107,00;2536,00;0,23;0,00
10;2;20;ИК7;0,00;0,00;0,00;2237,00;2237,00;1499,00;0,31;0,00
11;2;20;ИК7;0,58;9,95;27,64;2258,00;2335,00;1804,00;0,21;0,02
12;2;20;ИК7;0,36;23,05;5,73;3039,00;3102,00;2314,00;0,27;0,06
13;2;20;ИК7;0,00;0,00;0,00;2379,00;2379,00;2706,00;0,21;0,00
14;2;20;ИК7;0,00;0,00;0,00;2966,00;2966,00;2651,00;0,34;0,00
15;2;20;ИК7;0,00;0,00;0,00;3170,00;3170,00;2600,00;0,24;0,00
16;2;20;ИК7;0,00;0,00;0,00;2751,00;2751,00;2368,00;0,17;0,00
17;3;20;ИК7;8,64;34,74;130,96;1705,00;2809,00;2379,00;0,19;0,07
18;3;20;ИК7;0,00;0,00;0,00;2798,00;2798,00;2693,00;0,31;0,00
19;3;20;ИК7;1,89;6,35;118,41;2914,00;3251,00;2833,00;0,25;0,02
20;3;20;ИК7;0,00;0,00;0,00;2414,00;2414,00;2030,00;0,28;0,00
21;3;20;ИК7;0,00;0,00;0,00;1635,00;1635,00;1437,00;0,20;0,00
22;3;20;ИК7;0,00;0,00;0,00;2693,00;2693,00;2170,00;0,18;0,00
23;3;20;ИК7;1,41;21,46;29,90;1786,00;1937,00;1321,00;0,22;0,05
24;3;20;ИК7;0,19;14,67;7,09;3147,00;3182,00;2705,00;0,18;0,03
1;1;21;ИК7;1,85;95,37;8,99;1542,00;1716,00;1716,00;0,22;0,21
2;1;21;ИК7;1,64;30,25;22,84;2449,00;2693,00;2461,00;0,24;0,07
3;1;21;ИК7;0,98;79,45;8,42;2809,00;2972,00;2786,00;0,15;0,12
4;1;21;ИК7;0,35;11,34;15,78;2321,00;2368,00;1867,00;0,19;0,02
5;1;21;ИК7;4,74;71,91;24,68;1588,00;2088,00;2019,00;0,27;0,19
6;1;21;ИК7;4,13;92,62;18,29;2414,00;3065,00;3065,00;0,24;0,23
7;1;21;ИК7;4,95;93,33;35,36;2740,00;3647,00;3647,00;0,15;0,14
8;1;21;ИК7;6,56;75,40;46,50;1414,00;2065,00;1646,00;0,19;0,14
9;2;21;ИК7;1,35;70,83;13,22;2728,00;2949,00;2891,00;0,14;0,10
10;2;21;ИК7;4,02;70,57;21,48;1693,00;2135,00;2019,00;0,27;0,19
11;2;21;ИК7;2,94;49,25;22,43;2135,00;2530,00;2472,00;0,27;0,13
12;2;21;ИК7;5,87;70,53;40,23;2424,00;3403,00;3147,00;0,21;0,15
13;2;21;ИК7;3,13;95,13;14,58;2635,00;3158,00;3158,00;0,23;0,22
14;2;21;ИК7;0,00;0,00;0,00;3437,00;3437,00;2972,00;0,21;0,00
15;2;21;ИК7;2,27;12,85;98,60;2658,00;3030,00;2868,00;0,18;0,02
16;2;21;ИК7;2,64;84,65;15,46;3030,00;3530,00;3461,00;0,20;0,17
17;3;21;ИК7;1,09;17,29;29,46;2693,00;2868,00;2635,00;0,21;0,04
18;3;21;ИК7;0,00;0,00;0,00;3810,00;3810,00;3077,00;0,27;0,00
19;3;21;ИК7;1,83;87,18;13,46;3030,00;3368,00;3205,00;0,16;0,14
20;3;21;ИК7;1,48;69,74;6,96;2484,00;2705,00;2554,00;0,30;0,21
21;3;21;ИК7;0,00;0,00;0,00;1833,00;1833,00;1437,00;0,23;0,00
22;3;21;ИК7;1,56;54,55;12,38;2461,00;2693,00;2368,00;0,23;0,13
23;3;21;ИК7;6,90;65,71;50,01;1472,00;2193,00;2123,00;0,21;0,14
24;3;21;ИК7;0,26;67,56;1,72;3019,00;3065,00;2961,00;0,23;0,15
